timestamp,open,high,low,close,volume,trades,hfz_score,fbi_score,dtm_score,sda_score,mtv_score,type,score,regime,confidence,session,alert
2024-02-26 09:30:00,127850.0,128200.0,127700.0,128100.0,1200000,4850,77.50005383580081,75.79428009016173,78.5,54.3364613120942,0,neutral,79.14627260894122,Lateral,0.0,Fora de Horário,False
2024-02-26 09:35:00,128100.0,128550.0,128050.0,128400.0,1450000,5120,72.22681162903069,75.32808472585086,77.34883720930232,54.903499179177174,0,neutral,76.90359180408646,Lateral,0.0,Fora de Horário,False
2024-02-26 09:40:00,128400.0,128900.0,128300.0,128600.0,1600000,5480,68.63576885379385,59.81219016161929,76.71910112359551,56.45322253395495,0,neutral,73.93009779673677,Lateral,0.0,Fora de Horário,False
2024-02-26 09:45:00,128600.0,128750.0,128200.0,128450.0,1350000,4920,48.09521458092863,67.9130241726108,75.69565217391305,57.03346413231788,0,neutral,66.45062667363973,Lateral,0.0,Fora de Horário,False
2024-02-26 09:50:00,128450.0,129000.0,128350.0,128850.0,1700000,5650,68.3303176353455,74.78218051008307,75.75,58.15130190242698,2.5571397930967046,neutral,75.42076718992269,Lateral,2.5571397930967046,Fora de Horário,False
2024-02-26 09:55:00,128850.0,129200.0,128750.0,129050.0,1550000,5330,69.30701571251872,72.31760527392775,75.91752577319588,58.48928449620534,2.275938891095596,neutral,75.5845805590849,Lateral,2.275938891095596,Fora de Horário,False
2024-02-26 10:00:00,129050.0,129500.0,128950.0,129300.0,1800000,5890,57.74651842983981,68.1588608889837,75.6,59.50074537757677,0,neutral,70.44953072971313,Lateral,0.0,Fora de Horário,False
2024-02-26 10:05:00,129300.0,129450.0,129050.0,129200.0,1400000,4780,29.158977498574608,71.2734778121775,75.4,59.72504898465976,1.5718100545689162,neutral,59.395781732609024,Lateral,1.5718100545689162,Fora de Horário,False
2024-02-26 10:10:00,129200.0,129600.0,129100.0,129400.0,1650000,5520,60.17373255019744,77.20298815043792,75.13725490196079,60.326691755670495,100,neutral,77.31985191310238,Lateral,100.0,Principal,False
2024-02-26 10:15:00,129400.0,129750.0,129300.0,129600.0,1750000,5780,55.776227848153106,75.20370370370372,52.0,60.62636825367147,0,neutral,68.06217992231518,Lateral,0.0,Fechamento,False
2024-02-26 10:20:00,129600.0,129900.0,129500.0,129750.0,1900000,6120,57.852159731256826,74.51059730250482,52.0,59.94871679258923,0,neutral,68.78935946238268,Lateral,0.0,Fora de Horário,False
2024-02-26 10:25:00,129750.0,130100.0,129650.0,129950.0,1850000,6050,49.85258032227965,70.58894446582019,52.0,59.24589115453684,0,neutral,65.16222113322073,Lateral,0.0,Fora de Horário,False
2024-02-26 10:30:00,129950.0,130200.0,129850.0,130050.0,1700000,5690,46.70086193423852,70.1291810841984,52.0,58.20029466382248,0,neutral,63.80327761530638,Lateral,0.0,Fora de Horário,False
2024-02-26 10:35:00,130050.0,130400.0,129950.0,130200.0,1850000,6100,53.35727323275003,69.67127496159755,52.0,58.03230557766879,0,neutral,66.41165206814321,Lateral,0.0,Fora de Horário,False
2024-02-26 10:40:00,130200.0,130600.0,130100.0,130450.0,2000000,6450,55.88259990593336,70.82688130829182,52.0,57.98903088473784,0,neutral,67.53517963743941,Lateral,0.0,Fora de Horário,False
2024-02-26 10:45:00,130450.0,130750.0,130350.0,130600.0,1950000,6350,44.50579779177519,81.51812149055641,52.0,57.621647855935755,0,neutral,64.03521365856251,Lateral,0.0,Fora de Horário,False
2024-02-26 10:50:00,130600.0,130900.0,130500.0,130800.0,1900000,6200,46.729131734671085,82.43730886850153,52.0,57.26238223702619,0,neutral,64.9985026925699,Lateral,0.0,Fora de Horário,False
2024-02-26 10:55:00,130800.0,131050.0,130700.0,130900.0,1800000,5950,46.72676222406212,82.4374840845429,52.0,56.518867794760816,0,neutral,64.96039668781718,Lateral,0.0,Fora de Horário,False
